# fluctuations.py A_i0=20   B_i0=0   K_i0=100   L_i0=80   N=10000   T=1000   c=1   d=100   e=0.1   g=1.1   v=0.2   Ñ=180   α=0.08   λ=0.3   π_i0=0   φ=0.1   ω=0.002  
  t       firmsNum    firmsNEntry     bankruptcy         firmsK         firmsL          bankB    firmsProfit      rate          bankL     bankProfit
 50       15842.00         126.00          12.00     1438594.76     1143831.02          24.60       -2713.27    0.0916     1134073.08        1812.80
 51       15956.00         126.00          11.00     1442626.21     1153177.99           7.68        -324.51    0.0914     1143260.06        1652.49
 52       16071.00         127.00          12.00     1455404.93     1161381.88          30.46       -4454.68    0.0913     1151560.91        1612.80
 53       16186.00         128.00          25.00     1457850.99     1169903.07           2.49       -1861.77    0.0909     1159777.22        1292.00
 54       16289.00         129.00          40.00     1467704.18     1176469.66           7.89         -18.83    0.0907     1166249.71        1162.52
 55       16378.00         129.00          35.00     1477925.12     1182294.98          24.05       -2078.70    0.0907     1172101.75        1240.34
 56       16472.00         129.00          36.00     1482675.43     1188626.70          20.50         393.23    0.0907     1178423.73        1158.42
 57       16565.00         129.00          35.00     1493967.26     1194498.49          13.30       -2825.46    0.0908     1184318.33        1268.64
 58       16659.00         129.00          49.00     1496829.69     1200848.77          32.98        1093.28    0.0906     1190728.04        1122.20
 59       16739.00         129.00          31.00     1509937.30     1206406.58          67.38       -1227.10    0.0908     1196503.93        1260.33
 60       16837.00         129.00          25.00     1515820.27     1213332.71           8.66        2475.77    0.0908     1203142.50        1309.28
 61       16941.00         127.00          28.00     1531104.45     1219879.02          12.70       -3660.17    0.0911     1209732.21        1606.67
 62       17040.00         128.00          27.00     1531786.81     1227832.32          22.27         497.81    0.0910     1217829.06        1369.27
 63       17141.00         128.00          26.00     1546046.64     1234900.30          19.92       -3745.59    0.0910     1224786.77        1445.31
 64       17243.00         129.00          47.00     1547655.31     1241953.36          72.01       -1847.62    0.0907     1232112.91        1164.80
 65       17325.00         130.00          39.00     1556662.69     1248409.19          45.78       -8548.24    0.0905     1238296.98        1026.33
 66       17416.00         132.00          95.00     1549495.19     1253939.00          55.53        5067.12    0.0899     1243657.57         278.00
 67       17453.00         131.00          68.00     1572335.22     1255519.72          91.76       10136.61    0.0903     1245325.21         828.12
 68       17516.00         126.00          12.00     1594225.97     1259665.79         136.15        1795.07    0.0915     1249924.61        2095.43
 69       17630.00         124.00           3.00     1601299.16     1270863.97           4.36      -16398.09    0.0920     1261082.49        2522.24
 70       17751.00         130.00          40.00     1582062.37     1283744.32           1.92       -2127.07    0.0906     1273715.50         869.07
 71       17841.00         132.00          97.00     1601621.89     1288562.03          23.51        8188.71    0.0900     1278070.46         424.91
 72       17876.00         129.00          50.00     1624549.50     1290363.23         112.34        1221.20    0.0908     1280312.53        1435.36
 73       17955.00         127.00          20.00     1629007.69     1298070.41          28.32       -4620.32    0.0913     1288051.01        1860.35
 74       18062.00         128.00          25.00     1630542.43     1307557.91          10.80       -5888.98    0.0910     1297494.37        1433.62
 75       18165.00         130.00          63.00     1633362.30     1314988.44          12.27        -869.30    0.0904     1304716.46         795.00
 76       18232.00         130.00          74.00     1644109.29     1318997.73          55.76       -8806.23    0.0904     1308752.80         762.77
 77       18288.00         132.00         107.00     1634149.02     1323226.88          51.54        3797.46    0.0898     1312845.46          15.07
 78       18313.00         131.00         104.00     1653079.85     1323165.86         194.76        7909.43    0.0901     1313178.51         494.19
 79       18340.00         128.00          30.00     1670926.80     1326501.98         145.16        -810.72    0.0910     1316623.24        1639.91
 80       18438.00         127.00          27.00     1672929.19     1335568.42          12.87       -8498.34    0.0912     1325548.56        1811.32
 81       18538.00         129.00          52.00     1668497.15     1344802.37          17.75       -7219.50    0.0906     1334669.52         926.85
 82       18615.00         132.00         110.00     1669909.88     1349595.49          62.87       -3430.15    0.0899     1339392.52          85.97
 83       18637.00         133.00         156.00     1673930.87     1350681.83          90.38        6806.63    0.0897     1340136.71        -144.62
 84       18614.00         130.00          74.00     1692830.36     1349928.39         165.45        2668.76    0.0904     1339865.49         843.46
 85       18670.00         128.00          39.00     1698926.68     1355009.71          31.15        4522.07    0.0909     1344910.06        1485.35
 86       18759.00         126.00          18.00     1715251.11     1362442.07          13.94      -10362.21    0.0914     1352492.57        2114.56
 87       18867.00         129.00          36.00     1703216.94     1373157.20           7.38        2755.57    0.0908     1363135.08        1111.85
 88       18960.00         129.00          37.00     1727428.25     1378933.76          17.55       -5761.69    0.0908     1368731.24        1287.22
 89       19052.00         130.00          64.00     1722208.12     1385433.51          32.32       -3603.82    0.0905     1375255.09         862.53
 90       19118.00         131.00          91.00     1727921.07     1390031.76          51.55        9463.19    0.0903     1379729.36         501.24
 91       19158.00         128.00          34.00     1755446.61     1392450.37          82.49       -4733.71    0.0910     1382493.29        1687.13
 92       19252.00         128.00          27.00     1748005.22     1401458.65           6.80        -842.49    0.0910     1391341.43        1505.17
 93       19353.00         128.00          36.00     1761193.26     1409052.55           8.85       -5180.43    0.0909     1398901.28        1358.14
 94       19445.00         130.00          63.00     1761114.84     1415946.82          17.23       -1042.65    0.0906     1405736.25         859.68
 95       19512.00         130.00          73.00     1771187.79     1420342.88          48.89       -4961.42    0.0905     1410120.78         817.74
 96       19569.00         131.00         105.00     1769323.63     1424805.67          34.37       -1135.38    0.0903     1414453.92         434.38
 97       19595.00         131.00         101.00     1776777.94     1426983.42          96.72        2082.04    0.0902     1416797.65         434.96
 98       19625.00         130.00          73.00     1787073.13     1429438.18          96.46        1606.54    0.0905     1419456.06         886.57
 99       19682.00         129.00          37.00     1795824.98     1434559.81          31.98        -106.94    0.0908     1424371.21        1330.71
100       19774.00         128.00          49.00     1803340.31     1441349.95          21.07        7340.35    0.0909     1431184.67        1498.00
101       19853.00         126.00          15.00     1827987.97     1448670.61          20.97       -7155.25    0.0915     1438780.00        2380.67
102       19964.00         127.00          21.00     1820943.44     1460786.48           1.32       -4915.86    0.0912     1450788.21        1751.42
103       20070.00         129.00          58.00     1829733.72     1469716.52           9.04        8948.86    0.0907     1459551.90        1024.50
104       20141.00         127.00          23.00     1860171.49     1474770.07          19.77        6100.67    0.0912     1464719.63        2066.04
105       20245.00         125.00           7.00     1876144.62     1484974.43           2.80      -12110.62    0.0918     1475148.66        3036.66
106       20363.00         128.00          20.00     1863653.55     1500315.45           0.17       -6475.36    0.0911     1490345.99        1669.05
107       20471.00         130.00          63.00     1873930.99     1508873.43          25.23        2088.54    0.0904     1498692.08         585.43
108       20538.00         130.00          70.00     1890176.65     1511901.46          55.13        8276.94    0.0906     1501745.42         907.68
109       20598.00         127.00          23.00     1911866.62     1516579.87          42.12       -9640.22    0.0912     1506559.47        2124.06
110       20702.00         129.00          44.00     1897753.89     1527527.24           5.45        5705.32    0.0908     1517390.39        1270.28
111       20787.00         128.00          30.00     1927785.39     1533934.87          11.15       -8948.51    0.0910     1523769.05        1757.40
112       20885.00         129.00          61.00     1915609.68     1542816.57          12.40        6328.63    0.0907     1532611.77         921.45
113       20953.00         128.00          45.00     1944325.72     1547363.88          21.36       -3070.82    0.0909     1537281.02        1580.81
114       21036.00         128.00          34.00     1942460.05     1555442.31           7.71        7306.59    0.0909     1545291.85        1538.87
115       21130.00         127.00          13.00     1970285.91     1563033.25           9.39        3585.38    0.0913     1553024.73        2382.19
116       21244.00         125.00           5.00     1984494.64     1574850.34           9.85      -23134.52    0.0917     1564982.63        2970.58
117       21364.00         130.00         109.00     1952368.73     1590089.49           0.05      -14501.43    0.0903     1579884.79         184.54
118       21385.00         135.00         283.00     1950370.08     1591358.79          60.50        4507.76    0.0891     1580807.72       -2041.70
119       21237.00         133.00         251.00     1966108.36     1580944.13         312.23        4927.46    0.0895     1570901.76       -1164.63
120       21119.00         131.00         111.00     1969481.28     1576507.09         284.06       13120.82    0.0901     1566639.74         112.45
121       21139.00         127.00          39.00     1995257.91     1578515.35         113.38        2390.13    0.0912     1568622.28        2170.01
122       21227.00         126.00          17.00     2000794.31     1589931.91           4.25         505.48    0.0916     1580039.26        2829.18
123       21336.00         126.00           7.00     2016071.26     1604076.77           1.88        4773.28    0.0916     1594206.44        2846.75
124       21455.00         125.00           4.00     2041829.42     1618277.32           0.42        6130.22    0.0918     1608449.63        3255.13
125       21576.00         124.00           2.00     2067929.59     1634391.16           0.79      -23764.97    0.0921     1624727.39        3904.60
126       21698.00         129.00          47.00     2036639.61     1654283.65           0.01        7489.49    0.0907     1644254.30         928.41
127       21780.00         129.00          57.00     2082805.30     1659125.24          22.35        8351.16    0.0907     1648896.36        1230.18
128       21852.00         127.00          19.00     2100606.67     1665153.44          14.64      -20286.02    0.0914     1655158.99        2665.85
129       21960.00         130.00          78.00     2067863.78     1678817.44           9.40       -1670.03    0.0904     1668561.44         361.27
130       22012.00         131.00         147.00     2089412.64     1680832.09          53.60       20304.83    0.0901     1670414.81        -258.51
131       21996.00         127.00          37.00     2132522.83     1679077.74         163.67        4880.45    0.0913     1669390.23        2614.51
132       22086.00         125.00           6.00     2138398.26     1693066.41           7.38      -10455.61    0.0919     1683281.11        3766.27
133       22205.00         127.00          10.00     2134089.79     1712060.76           0.06      -16539.69    0.0913     1702149.38        2331.77
134       22322.00         131.00         123.00     2126127.18     1724182.14           0.86       15182.25    0.0902     1713808.54        -174.27
135       22330.00         129.00          54.00     2174344.71     1722877.01         145.99       13724.02    0.0908     1712941.52        1594.27
136       22405.00         125.00           7.00     2197745.18     1731522.72          18.68      -35235.45    0.0918     1721642.80        3875.77
137       22523.00         131.00         154.00     2135894.99     1751386.20           0.22      -13918.64    0.0902     1741115.05        -401.01
138       22500.00         135.00         328.00     2144291.79     1749764.64         109.10        1438.40    0.0891     1739111.09       -2983.16
139       22307.00         134.00         324.00     2148450.50     1734498.48         425.68       17086.59    0.0893     1724740.80       -2319.75
140       22117.00         130.00         119.00     2173927.50     1724824.60         342.88        1683.63    0.0905     1715270.46         720.96
141       22128.00         128.00          57.00     2168440.53     1730675.00          51.82      -20382.62    0.0910     1720589.67        1762.99
142       22199.00         132.00         164.00     2137873.93     1740040.54          22.99         391.19    0.0900     1729663.73        -725.56
143       22167.00         132.00         194.00     2157838.28     1736225.71         242.49       -2385.17    0.0899     1726150.88        -861.79
144       22105.00         132.00         167.00     2152402.21     1733449.20          98.31       11492.93    0.0900     1723054.34        -587.46
145       22070.00         129.00          76.00     2177458.69     1730563.52         163.41       29530.01    0.0907     1720608.58        1259.54
146       22123.00         123.00           0.00     2234265.30     1737329.66          33.41        3903.39    0.0924     1727723.37        5404.42
147       22246.00         121.00           0.00     2241860.29     1764223.19           0.00        8405.96    0.0928     1754912.55        6323.85
148       22367.00         121.00           0.00     2288667.12     1795701.50           0.00      -11362.37    0.0929     1786531.77        6629.57
149       22488.00         124.00           0.00     2293334.98     1829080.05           0.00      -40341.37    0.0922     1819679.62        4643.72
150       22612.00         132.00         193.00     2250652.11     1853237.56           0.00      -12712.61    0.0899     1842898.23       -1472.42
151       22551.00         136.00         386.00     2260658.33     1845686.28         330.39       -1953.99    0.0888     1835536.13       -3919.88
