# fluctuations.py A_i0=20   B_i0=0   K_i0=100   L_i0=80   N=10000   T=1000   c=1   d=100   e=0.1   g=1.1   v=0.2   Ñ=180   α=0.08   λ=0.3   π_i0=0   φ=0.1   ω=0.002  
  t       firmsNum    firmsNEntry     bankruptcy         firmsK         firmsL          bankB    firmsProfit      rate          bankL     bankProfit
256       23170.00         129.00          73.00     2824305.90     2268531.24          19.22      -10680.62    0.0907     2258368.60        1137.16
257       23226.00         131.00         128.00     2819541.27     2274502.16          18.95       -2735.10    0.0903     2264150.47        -424.61
258       23229.00         131.00         166.00     2825239.98     2272397.01         103.30      -16870.37    0.0902     2262122.20        -667.04
259       23194.00         133.00         263.00     2794107.85     2269721.47         112.90       31303.68    0.0897     2259303.50       -2424.32
260       23064.00         129.00          77.00     2863947.73     2257499.69         210.80        7528.21    0.0908     2247746.36        1920.42
261       23116.00         126.00           7.00     2860769.14     2268134.70          45.03       -2496.73    0.0916     2258402.45        4050.46
262       23235.00         126.00           9.00     2871328.44     2288758.38           0.88      -22244.97    0.0915     2278879.92        3583.50
263       23352.00         130.00          76.00     2850106.35     2307015.96           0.57        4040.73    0.0905     2296801.80         308.77
264       23406.00         130.00         100.00     2884703.34     2308687.82          31.08       -5505.23    0.0905     2298348.46         339.41
265       23436.00         130.00          95.00     2874040.10     2310504.27          50.23       -5921.28    0.0904     2300200.92         154.49
266       23471.00         131.00         144.00     2871296.71     2311535.36          60.02      -15827.59    0.0903     2301224.52        -489.44
267       23458.00         132.00         253.00     2846095.11     2309494.24         106.39       10758.56    0.0898     2299077.44       -2303.82
268       23337.00         131.00         179.00     2874375.88     2297862.65         256.33       -8878.45    0.0902     2288090.30        -582.87
269       23289.00         131.00         183.00     2846946.41     2296501.23         197.95        4963.67    0.0901     2286457.58        -844.44
270       23237.00         130.00         131.00     2864805.93     2293050.13         229.32        7659.91    0.0904     2283225.12          58.11
271       23236.00         129.00          44.00     2879112.55     2294541.90         114.95        1652.12    0.0908     2284662.25        1599.83
272       23321.00         128.00          44.00     2886096.64     2303391.52          11.58       -5006.95    0.0910     2293236.11        2161.84
273       23405.00         128.00          45.00     2887716.14     2314133.64          47.39        5978.24    0.0909     2304103.21        1542.69
274       23488.00         128.00          40.00     2915169.27     2322102.11          21.59       -9340.29    0.0910     2312053.58        2250.44
275       23576.00         129.00          50.00     2904593.02     2333646.59           4.64       23697.43    0.0908     2323413.74        1199.65
276       23655.00         126.00          21.00     2969582.21     2339326.98          26.04       -1584.23    0.0915     2329435.17        4073.46
277       23760.00         126.00           5.00     2965620.09     2359745.21           1.33      -15021.93    0.0916     2349932.66        4367.15
278       23881.00         128.00          47.00     2961755.35     2381826.15           2.10        9556.40    0.0910     2371775.05        1869.39
279       23962.00         128.00          39.00     3007807.04     2391189.58          11.64        -959.94    0.0911     2381132.51        2551.69
280       24051.00         127.00          39.00     3011602.13     2403917.95          20.34      -16698.70    0.0912     2393949.14        2682.15
281       24139.00         130.00          94.00     2995436.16     2417681.24           7.52       20274.03    0.0905     2407461.56         330.21
282       24175.00         128.00          46.00     3056572.77     2418981.63         138.65      -17926.21    0.0911     2409150.19        2690.68
283       24257.00         129.00          60.00     3017460.85     2433520.55           8.14        8768.28    0.0907     2423296.83        1003.36
284       24326.00         129.00          55.00     3060460.57     2438490.13          45.17         726.89    0.0908     2428354.36        1656.97
285       24400.00         128.00          46.00     3064055.23     2446850.06          41.05       23445.14    0.0910     2436865.07        2155.50
286       24482.00         125.00          10.00     3123598.88     2457721.15           5.43      -15370.37    0.0917     2447847.81        5253.30
287       24597.00         127.00          22.00     3098191.97     2484009.86           0.33       26933.64    0.0914     2474141.46        3487.86
288       24702.00         125.00           1.00     3187311.50     2501353.04           4.38       -7790.70    0.0919     2491582.40        6088.81
289       24826.00         125.00           1.00     3177728.25     2531792.99           0.00      -30709.62    0.0918     2522048.37        5311.52
290       24950.00         130.00         106.00     3153577.61     2558770.88           0.01        3863.33    0.0906     2548605.98         111.60
291       24974.00         130.00         139.00     3195186.88     2559343.87          78.78       -6144.70    0.0904     2549164.06        -155.90
292       24965.00         130.00         135.00     3181210.13     2558984.18          59.00      -44416.48    0.0904     2548778.45        -408.54
293       24960.00         135.00         450.00     3099873.52     2557795.45          66.70       27738.15    0.0890     2547030.73       -6218.65
294       24645.00         132.00         244.00     3170913.48     2526293.13         284.99       23987.45    0.0898     2516270.97       -2208.59
295       24533.00         128.00          57.00     3183726.34     2516415.28         186.21      -10148.50    0.0911     2506652.98        2900.48
296       24604.00         128.00          39.00     3157669.72     2532198.88          10.95        2154.04    0.0910     2522086.40        2275.54
297       24693.00         128.00          52.00     3186167.48     2543693.27           2.96      -35640.25    0.0909     2533518.85        2081.38
298       24769.00         132.00         254.00     3126068.68     2554473.81           9.30      -17789.87    0.0899     2543940.53       -2681.34
299       24647.00         135.00         410.00     3115349.63     2541066.41         200.51       12756.89    0.0891     2530580.31       -5528.25
300       24372.00         133.00         253.00     3134058.92     2513888.10         372.60       16636.94    0.0897     2503941.58       -2811.11
301       24252.00         129.00         101.00     3145045.36     2501906.58         127.28      -19045.54    0.0906     2491749.05         917.21
302       24280.00         131.00         157.00     3098162.17     2507257.55          42.89       -4087.13    0.0903     2496971.51        -769.54
303       24254.00         131.00         169.00     3107920.08     2503563.45         133.04        3307.85    0.0900     2493338.27       -1450.54
304       24216.00         131.00         157.00     3114416.03     2496826.69         125.18        -982.17    0.0903     2486750.74        -457.95
305       24190.00         130.00         107.00     3109758.43     2494919.53         242.75       -6664.26    0.0904     2485086.87         -24.31
306       24213.00         131.00         143.00     3101433.19     2496480.19          64.35       -9150.85    0.0903     2486179.09        -483.05
307       24201.00         131.00         186.00     3090076.35     2494186.68         174.23      -11990.60    0.0901     2484085.63       -1427.18
308       24146.00         133.00         278.00     3071709.27     2488143.54         135.27         696.60    0.0897     2477820.91       -2701.40
309       24001.00         132.00         257.00     3074215.48     2474695.53         390.61       -7253.51    0.0898     2464990.28       -2125.73
310       23876.00         132.00         238.00     3052958.52     2466223.56         288.11        6408.02    0.0898     2456314.64       -2257.62
311       23770.00         131.00         185.00     3065817.96     2456546.42         171.29        9415.42    0.0902     2446467.10        -769.49
312       23716.00         129.00          82.00     3077450.56     2453252.97         215.19       -2436.72    0.0907     2443476.11        1256.99
313       23763.00         129.00          78.00     3073271.47     2460911.93          50.64        5117.86    0.0908     2450837.02        1442.29
314       23814.00         128.00          34.00     3095825.81     2468258.96          68.83       -5546.17    0.0910     2458301.66        2096.01
315       23908.00         129.00          46.00     3093165.22     2479306.33           8.44        5132.55    0.0908     2469125.86        1546.97
316       23991.00         128.00          43.00     3119341.55     2487101.88           8.90      -11609.47    0.0910     2476902.90        2134.91
317       24076.00         129.00          85.00     3104221.42     2497785.12          22.61       -1608.59    0.0906     2487621.96         770.99
318       24120.00         130.00         110.00     3119009.73     2501627.83          53.65       -4231.34    0.0905     2491589.94         348.12
319       24140.00         130.00         123.00     3116985.37     2503926.79          40.03       -8521.19    0.0904     2493598.82         102.23
320       24147.00         131.00         160.00     3107151.33     2504335.99          96.65        -267.29    0.0902     2494310.09        -817.71
321       24118.00         131.00         177.00     3114386.28     2501067.49          58.17      -18243.13    0.0903     2490704.82        -604.11
322       24072.00         132.00         221.00     3078036.70     2498366.08         112.96       13523.10    0.0898     2487975.12       -2471.56
323       23983.00         131.00         157.00     3113762.37     2486238.21         184.70      -21306.06    0.0902     2476182.14        -413.59
324       23957.00         132.00         233.00     3059090.01     2485196.50         109.08        9529.65    0.0898     2475037.73       -2269.87
325       23856.00         131.00         184.00     3091005.87     2474221.99         248.93       -1418.09    0.0901     2464233.78        -939.36
326       23803.00         130.00         133.00     3077855.42     2470954.92         102.13       -1901.18    0.0904     2460781.65        -176.11
327       23800.00         130.00         113.00     3077453.67     2470413.58         100.40        8424.04    0.0904     2460411.74         -43.66
328       23817.00         129.00          62.00     3099075.82     2470780.73          79.70        7408.86    0.0908     2460695.45        1457.69
329       23884.00         127.00          38.00     3115693.99     2478480.34          20.94       -4620.15    0.0911     2468382.40        2844.19
330       23973.00         128.00          38.00     3115779.45     2492692.72          34.34      -28706.00    0.0910     2482708.02        2354.15
331       24063.00         132.00         187.00     3077963.33     2505130.02           4.72       13129.35    0.0900     2494650.46       -1703.05
332       24008.00         131.00         134.00     3126769.97     2496342.14         163.20        9202.55    0.0903     2486158.83        -281.99
333       24005.00         128.00          50.00     3133866.77     2495635.08          64.15      -17125.30    0.0909     2485564.91        1875.28
334       24083.00         130.00          99.00     3102792.25     2505517.05          22.54        8534.90    0.0905     2495262.04          59.06
335       24114.00         129.00          88.00     3139906.35     2505856.66          53.50       28297.75    0.0906     2495670.02         920.33
336       24155.00         125.00          10.00     3194873.73     2510229.25          65.01        3617.62    0.0917     2500539.17        5165.22
337       24270.00         124.00           2.00     3202346.58     2536323.25           2.68      -22813.15    0.0920     2526690.35        6065.35
338       24392.00         128.00          29.00     3186193.64     2566940.76           0.02       -7431.58    0.0911     2557030.52        2338.96
339       24491.00         130.00          96.00     3208810.76     2579047.94           3.31      -24157.65    0.0906     2568725.40         379.77
340       24525.00         132.00         264.00     3172655.27     2581180.88          43.81        -593.16    0.0898     2570640.76       -2763.92
341       24393.00         133.00         287.00     3184343.63     2567296.58         149.78        9325.73    0.0897     2557040.23       -2781.11
342       24239.00         131.00         149.00     3192757.64     2553918.88         215.31       11566.26    0.0903     2543883.56        -484.71
343       24221.00         129.00          65.00     3207641.80     2552509.75          98.78       10977.47    0.0909     2542536.55        1890.59
344       24285.00         127.00          18.00     3230532.39     2562514.09          16.84      -38008.21    0.0914     2552483.44        3797.48
345       24394.00         131.00         165.00     3165479.38     2581932.94           4.21       -1728.39    0.0902     2571555.06       -1264.57
346       24360.00         132.00         245.00     3196166.54     2575455.75         164.95       -2124.27    0.0899     2565253.29       -2345.62
347       24247.00         132.00         215.00     3185302.09     2564576.85         130.72        1497.70    0.0900     2554349.90       -1676.10
348       24164.00         131.00         152.00     3184776.77     2556393.76         240.67        1611.99    0.0902     2546622.98        -801.37
349       24143.00         130.00         124.00     3186440.97     2553886.48         148.34       30813.39    0.0904     2543819.48          40.76
350       24149.00         126.00          19.00     3249538.08     2554462.79         123.87       11661.48    0.0915     2544764.98        4554.54
351       24256.00         124.00           3.00     3267802.42     2577778.85           4.19      -15488.66    0.0921     2568157.03        6697.09
352       24377.00         126.00           6.00     3261289.94     2611438.68           0.00      -14622.75    0.0915     2601663.42        4164.92
353       24497.00         129.00          64.00     3271244.92     2632630.53           0.49        7537.03    0.0908     2622488.01        1101.08
354       24562.00         128.00          52.00     3308940.30     2638049.97          31.54       20729.98    0.0909     2627995.84        1788.98
355       24638.00         126.00          17.00     3354197.46     2646869.44          20.30        -737.92    0.0916     2637098.46        4836.32
356       24747.00         126.00           6.00     3358794.78     2671191.09           5.26      -26784.79    0.0916     2661381.52        5016.48
357       24867.00         129.00          74.00     3333961.55     2696676.38           0.07       15696.58    0.0907     2686490.24         707.69
358       24922.00         128.00          62.00     3398230.05     2700186.86          15.93        5325.09    0.0909     2690029.07        2096.74
359       24988.00         127.00          26.00     3406072.58     2710537.02          24.68       -6546.31    0.0912     2700592.40        3405.25
360       25089.00         128.00          38.00     3407395.01     2727765.13           3.82      -29664.65    0.0910     2717742.04        2431.69
361       25179.00         131.00         217.00     3369689.69     2740298.98          26.55       17333.94    0.0901     2729919.62       -1996.88
362       25093.00         130.00         118.00     3426222.26     2729905.76         152.50       -8364.51    0.0904     2720068.01          53.09
363       25105.00         130.00         118.00     3396060.05     2731340.32          64.22       -8756.71    0.0905     2721096.00          55.00
364       25117.00         131.00         175.00     3390185.85     2732060.28          63.83        7908.57    0.0902     2721692.12       -1039.13
365       25073.00         130.00         121.00     3411944.17     2726664.60         162.48       48302.83    0.0905     2716815.62         326.53
366       25082.00         124.00           5.00     3505338.90     2728891.33          54.45       25468.19    0.0920     2719260.66        7400.77
367       25201.00         121.00           0.00     3547314.44     2765812.47           0.00       -2358.74    0.0929     2756536.77       11568.19
368       25322.00         122.00           0.00     3577319.75     2823583.45           0.00      -43165.52    0.0927     2814377.73       10312.40
369       25444.00         127.00          23.00     3547941.96     2875737.97           0.00       -4200.13    0.0911     2865939.72        2578.42
370       25548.00         130.00         117.00     3598624.18     2889114.92           0.64      -32371.19    0.0905     2878831.83          39.03
371       25561.00         133.00         274.00     3541133.23     2889566.82          55.60       41657.69    0.0897     2879030.16       -4242.35
372       25420.00         129.00          94.00     3637924.55     2868060.83         177.24      -41297.56    0.0907     2858096.41        1691.87
373       25455.00         131.00         201.00     3525926.31     2877848.07          26.44        5780.56    0.0901     2867441.99       -2313.69
374       25385.00         132.00         221.00     3569746.09     2866222.61         149.34       22657.49    0.0900     2856005.70       -2141.36
375       25296.00         128.00          71.00     3601496.23     2855890.99         179.84      -33398.53    0.0909     2846045.60        2072.59
376       25353.00         131.00         183.00     3526270.69     2867677.71          16.40      -26231.84    0.0902     2857307.75       -1652.29
377       25301.00         134.00         391.00     3501736.37     2859607.06         114.24       36928.66    0.0893     2849128.32       -5980.97
378       25044.00         130.00         163.00     3574368.63     2829566.82         316.84      -16443.53    0.0904     2819794.66          12.24
379       25011.00         130.00         143.00     3509053.92     2831650.59          61.25      -13043.37    0.0904     2821440.06        -445.44
380       24998.00         132.00         212.00     3500210.93     2829906.55          84.12        6215.63    0.0900     2819519.11       -2328.03
381       24918.00         131.00         151.00     3516794.01     2818427.21         185.55      -22292.44    0.0902     2808299.55       -1083.66
382       24898.00         132.00         255.00     3463941.17     2813863.03         226.89       30690.37    0.0898     2803809.02       -3316.83
383       24775.00         129.00          93.00     3534362.06     2798110.26         231.00       -4400.11    0.0907     2788359.34        1212.30
384       24811.00         128.00          50.00     3504828.88     2805633.58          25.19       19519.57    0.0909     2795575.84        2051.15
385       24889.00         126.00          25.00     3561103.07     2815947.87           7.29      -45852.06    0.0914     2805957.55        4413.67
386       24990.00         131.00         178.00     3474803.61     2838359.46           4.05       40184.33    0.0902     2828062.36       -1512.68
387       24943.00         128.00          47.00     3595589.34     2830311.92         133.21       18042.69    0.0910     2820519.17        2933.27
388       25024.00         125.00           8.00     3609178.38     2845546.58          22.76      -28622.95    0.0919     2835851.61        6712.00
389       25141.00         128.00          26.00     3570314.71     2879505.52           0.57       22524.84    0.0911     2869525.38        2523.56
390       25243.00         127.00          12.00     3659226.47     2892185.74           3.27      -28082.20    0.0913     2882146.04        4326.77
391       25358.00         129.00          83.00     3604903.59     2914016.19           0.80      -23833.82    0.0907     2903796.27         941.20
392       25404.00         132.00         258.00     3592875.48     2918995.14          36.27         547.05    0.0899     2908506.30       -3341.41
393       25278.00         132.00         273.00     3603448.95     2902034.79         275.66       -8852.25    0.0899     2891980.61       -3083.28
394       25137.00         132.00         308.00     3573883.27     2888226.50         146.71      -13105.52    0.0898     2877942.52       -3158.81
395       24961.00         133.00         298.00     3543936.92     2873102.93         232.95      -16920.79    0.0896     2862882.01       -4152.50
396       24796.00         134.00         385.00     3505720.40     2853093.07         330.30       27732.25    0.0893     2843284.26       -5809.67
397       24545.00         131.00         158.00     3552975.62     2825523.11         324.98       21480.50    0.0902     2815887.37        -828.03
398       24518.00         127.00          38.00     3568409.32     2823327.15          79.96       -9931.75    0.0912     2813372.16        3659.63
399       24607.00         128.00          44.00     3548096.59     2841879.35          42.78       26653.25    0.0911     2832070.13        2819.08
400       24691.00         125.00           8.00     3628170.03     2856206.56          15.68      -15029.49    0.0917     2846379.43        5796.84
401       24808.00         127.00          15.00     3603012.63     2885285.00           0.61      -60622.48    0.0914     2875442.02        4095.93
402       24920.00         134.00         312.00     3520669.05     2906620.69           3.32       25006.56    0.0894     2895924.75       -5331.00
403       24742.00         132.00         243.00     3606705.66     2879344.28         274.16       42702.26    0.0898     2869286.36       -2630.47
404       24631.00         126.00          21.00     3656871.53     2866639.79         216.69      -24050.77    0.0914     2857504.81        5009.94
405       24736.00         127.00          26.00     3595359.54     2893623.33           1.64        9073.69    0.0911     2883637.97        2876.23
406       24837.00         128.00          46.00     3654521.95     2908053.02           5.28      -70813.70    0.0911     2898027.30        2852.71
407       24919.00         135.00         444.00     3521350.61     2923033.49           9.25       41436.17    0.0892     2912317.26       -6770.80
408       24610.00         132.00         242.00     3642491.75     2887816.59         524.32       36307.84    0.0900     2878509.50       -1712.67
409       24500.00         126.00          12.00     3670187.19     2881999.88         238.42      -32142.19    0.0915     2872567.73        5398.67
410       24614.00         128.00          46.00     3600769.61     2910806.46           2.21       13291.08    0.0909     2900753.19        1766.48
411       24696.00         128.00          63.00     3670440.81     2919201.75          78.86      -35483.01    0.0909     2909596.66        2316.99
412       24761.00         131.00         191.00     3601403.28     2931973.29          17.84      -19914.25    0.0901     2921575.91       -2120.99
413       24701.00         134.00         349.00     3589126.28     2921442.24         136.27       16551.17    0.0894     2911060.17       -5398.41
414       24486.00         132.00         229.00     3617630.85     2894355.03         359.40       -6541.26    0.0899     2884749.47       -2366.68
415       24389.00         131.00         168.00     3580807.23     2884768.53         204.26        4408.85    0.0901     2874713.10       -1555.17
416       24352.00         130.00         163.00     3592014.78     2878124.59         130.13      -13411.07    0.0903     2867958.55        -469.97
417       24319.00         131.00         182.00     3561650.23     2876470.33          74.32       -6792.79    0.0901     2866259.37       -1557.62
418       24268.00         132.00         199.00     3556653.52     2869101.55         120.81       17291.61    0.0899     2858842.89       -2265.87
419       24201.00         130.00          97.00     3589698.32     2858218.75         172.04      -22927.08    0.0906     2848117.57         669.43
420       24234.00         131.00         181.00     3533654.72     2862809.71          19.12       30930.38    0.0902     2852324.90       -1414.89
421       24184.00         128.00          60.00     3613479.01     2855248.91          96.43       15386.50    0.0909     2845346.04        2584.89
422       24252.00         125.00           2.00     3629163.94     2868619.70          12.33       -5619.06    0.0917     2858752.69        5642.45
423       24375.00         126.00           9.00     3633247.39     2896841.46           0.03       16530.00    0.0915     2887026.62        4769.33
424       24492.00         125.00           5.00     3698258.09     2920653.11           1.18       -1661.84    0.0918     2910873.42        6116.92
425       24612.00         125.00           1.00     3711416.48     2951168.68           7.85      -37546.73    0.0917     2941463.95        5622.43
426       24736.00         130.00         109.00     3669095.46     2979790.28           0.00       67187.71    0.0905     2969615.34        -174.89
427       24757.00         124.00           2.00     3842225.53     2978397.85          56.12       42431.06    0.0919     2968740.90        7721.97
428       24879.00         119.00           0.00     3900684.41     3016761.98           0.46      -14101.03    0.0934     3007631.37       14705.65
429       24998.00         121.00           0.00     3905854.40     3090186.00           0.00      -96108.18    0.0929     3081161.93       12023.45
430       25119.00         132.00         215.00     3791424.78     3151451.70           0.00       42671.68    0.0899     3141279.17       -3853.64
431       25036.00         131.00         164.00     3955839.92     3131774.14         305.62       51641.90    0.0903     3122010.97        -456.64
432       25003.00         124.00           3.00     4017778.85     3130649.89         122.42      -28405.42    0.0920     3121255.86        8550.82
433       25124.00         126.00           2.00     3955399.93     3174358.54           0.10       52406.76    0.0916     3164622.05        5561.20
434       25248.00         123.00           0.00     4118792.08     3202012.04           0.15      -45393.21    0.0923     3192428.53       10540.07
435       25371.00         126.00           2.00     4030906.76     3254860.19           0.00       81974.50    0.0915     3245129.64        4906.54
436       25495.00         122.00           0.00     4266973.47     3279064.66           7.65      -48020.30    0.0927     3269662.34       13247.27
437       25617.00         124.00           0.00     4157763.86     3345439.83           0.00      -16319.96    0.0920     3335936.92        7977.60
438       25741.00         128.00          41.00     4215973.16     3385788.74           0.00      114235.72    0.0909     3375824.91        2220.63
439       25828.00         120.00           0.00     4473790.32     3396254.35          12.98      -56384.26    0.0931     3386928.07       16959.74
440       25948.00         123.00           0.00     4333932.89     3481016.73           0.00       24649.75    0.0924     3471791.66       11291.73
441       26071.00         124.00           0.00     4498819.55     3537759.64           0.00       33145.54    0.0921     3528250.29        9931.25
442       26195.00         122.00           0.00     4592452.58     3587271.33           0.00       64002.26    0.0926     3577906.54       13817.66
443       26317.00         118.00           0.00     4758393.95     3655913.73           0.00     -146315.71    0.0936     3646994.83       21204.33
444       26435.00         129.00          71.00     4510964.47     3762757.92           0.00        3576.79    0.0906     3753016.48        -533.50
445       26493.00         133.00         335.00     4664758.65     3760502.68         176.05        5048.97    0.0897     3750348.98       -5855.19
446       26291.00         131.00         230.00     4644736.35     3731408.03         536.78     -121832.83    0.0901     3721953.27       -3316.74
447       26192.00         140.00         839.00     4386203.20     3719228.37         124.24       69869.44    0.0877     3708053.50      -20408.28
448       25493.00         135.00         511.00     4547409.30     3616157.92         722.11      -67725.64    0.0889     3606633.29       -9050.43
449       25117.00         137.00         596.00     4303466.02     3575220.43         467.80        -147.30    0.0884     3564991.69      -13938.44
450       24658.00         137.00         565.00     4306188.27     3508022.28         431.94      -38059.11    0.0883     3497638.52      -12733.38
451       24230.00         139.00         636.00     4170606.97     3445912.14         639.22       -6251.64    0.0879     3436131.32      -15077.03
452       23733.00         139.00         558.00     4126954.26     3374297.80         530.11       98722.31    0.0880     3363942.29      -13398.06
453       23314.00         128.00          85.00     4267210.74     3308363.78         663.35       -4946.60    0.0909     3299602.52        3267.96
454       23357.00         126.00           6.00     4181388.56     3328990.88          27.77       44945.72    0.0916     3319259.06        6094.02
455       23477.00         122.00           0.00     4309155.33     3359441.48           0.51      -58935.27    0.0925     3349868.00       10863.80
456       23599.00         127.00          19.00     4203291.77     3413955.01           0.00       30791.30    0.0912     3404189.52        3153.13
457       23707.00         127.00          25.00     4342351.62     3429956.98           2.29      -46908.59    0.0913     3419955.17        4594.72
458       23809.00         130.00         113.00     4243587.07     3453263.80           2.12       -6375.94    0.0904     3442940.20       -1229.18
459       23826.00         132.00         217.00     4274343.19     3447268.77          68.74       40426.43    0.0899     3436804.90       -3210.72
460       23741.00         128.00          58.00     4347893.73     3430991.11         161.96      -74319.53    0.0910     3421095.02        3234.74
461       23811.00         133.00         283.00     4179034.36     3448735.35           9.19       28787.40    0.0896     3438078.49       -5659.43
462       23661.00         132.00         229.00     4284829.49     3419985.93         245.47      -77053.57    0.0899     3409827.26       -2894.42
463       23564.00         137.00         494.00     4091926.38     3407469.60         157.60       27385.72    0.0884     3396582.48      -11436.42
464       23207.00         135.00         422.00     4169292.69     3350360.48         407.72       88705.90    0.0889     3340188.38       -7432.75
465       22920.00         125.00          17.00     4285452.44     3314026.49         409.20       35688.92    0.0917     3305063.27        7176.52
466       23028.00         120.00           0.00     4308607.34     3352272.73           1.36       14152.46    0.0932     3342991.84       14026.91
467       23148.00         119.00           0.00     4373466.32     3422119.01           0.00       39768.15    0.0933     3413133.18       14818.70
468       23267.00         117.00           0.00     4515131.13     3496019.98           0.00      -99195.22    0.0937     3487226.69       17687.69
469       23384.00         127.00           5.00     4368391.87     3585099.30           0.00      -64498.64    0.0912     3575665.14        3285.63
470       23506.00         136.00         420.00     4359048.52     3603018.00           0.98      -25627.85    0.0888     3592093.30      -10118.78
471       23222.00         138.00         545.00     4324219.64     3552225.14         296.79      133529.94    0.0880     3541504.29      -13360.78
472       22815.00         126.00          53.00     4550487.13     3483228.44        1088.25       42319.44    0.0914     3476184.38        6845.12
473       22888.00         119.00           0.00     4545253.39     3525036.24          11.91       96021.11    0.0934     3515851.27       16181.37
474       23007.00         112.00           0.00     4777523.29     3605222.68           0.00       63651.76    0.0951     3596817.67       26574.69
475       23119.00         107.00           0.00     4943267.49     3737444.47           0.00      -62518.38    0.0961     3729691.14       33481.01
476       23226.00         115.00           0.00     4924308.48     3905033.98           0.00      171550.97    0.0943     3897096.18       22573.90
477       23341.00         109.00           0.00     5445120.94     4017926.12           0.00      212758.67    0.0958     4009965.66       36458.07
478       23450.00          95.00           0.00     5882471.52     4199130.34           0.00     -318110.18    0.0989     4192256.03       61553.29
479       23545.00         118.00           0.00     5343658.08     4507395.93           0.00     -158807.65    0.0934     4500022.50       22364.75
480       23663.00         139.00         614.00     5461671.21     4622554.17           0.00      112504.94    0.0880     4611846.26      -20826.77
481       23188.00         133.00         288.00     5743069.91     4517345.80         540.10       61674.94    0.0896     4507712.39       -5195.87
482       23033.00         126.00          15.00     5732568.58     4493651.66         262.58     -212431.53    0.0916     4484433.52        9029.89
483       23144.00         139.00         623.00     5296740.19     4542038.23          13.96      181866.10    0.0879     4530895.87      -20969.15
484       22660.00         130.00         186.00     5768623.03     4434990.43         698.81     -234341.78    0.0904     4426119.89        2619.54
485       22604.00         141.00         703.00     5139282.69     4453993.42          90.16       97545.08    0.0872     4442711.60      -24111.68
486       22042.00         138.00         485.00     5450026.91     4332569.00         675.30      198045.20    0.0883     4322603.96      -12555.90
487       21695.00         120.00           4.00     5689400.38     4270980.28         672.17     -300044.71    0.0930     4263200.97       19066.58
488       21811.00         138.00         478.00     4994854.54     4372617.20           0.20       62491.59    0.0881     4361894.73      -16232.99
489       21471.00         139.00         509.00     5341478.42     4291448.25         414.59      192507.00    0.0878     4280730.78      -14553.47
490       21101.00         122.00           9.00     5593308.34     4218183.32         812.73      132585.43    0.0925     4210036.40       15643.61
491       21214.00         108.00           0.00     5750501.06     4300688.86           1.51      -59182.07    0.0959     4292318.07       35910.39
492       21322.00         113.00           0.00     5680791.37     4479771.77           0.00       90294.45    0.0947     4471877.58       28037.44
493       21435.00         113.00           0.00     6063270.26     4620219.69           0.00     -409243.25    0.0948     4612064.78       31054.94
494       21548.00         142.00         682.00     5314527.98     4777998.35           0.00      178141.18    0.0869     4767339.46      -26486.20
495       21008.00         137.00         458.00     5949516.32     4644607.95         621.04      201537.64    0.0884     4634908.44       -9520.67
496       20687.00         118.00           0.00     6131123.70     4598924.14         456.06      141985.80    0.0935     4590410.33       24241.48
497       20805.00         106.00           0.00     6338635.39     4721908.69           0.00      312950.95    0.0965     4713898.01       44076.97
498       20911.00          89.00           0.00     7043617.20     4940854.39           0.00     -135501.22    0.1001     4934282.88       75781.96
499       21000.00          98.00           0.00     6839797.94     5319208.53           0.00     -400012.34    0.0982     5313192.67       63630.87
500       21098.00         132.00         196.00     6497944.57     5639918.62           0.00     -110645.60    0.0898     5631347.00       -8253.43
501       21034.00         145.00         806.00     6641205.22     5601817.23         211.71      330453.65    0.0860     5590079.86      -38520.32
502       20373.00         127.00          86.00     7220804.74     5407055.76         856.64     -351145.15    0.0912     5398536.83       12359.85
503       20414.00         140.00         588.00     6258945.48     5475865.48          38.25     -322747.91    0.0874     5464619.26      -25228.56
504       19966.00         161.00        1588.00     5844229.71     5352728.90         643.72       61899.40    0.0791     5338667.68      -81714.74
505       18539.00         159.00        1254.00     5883976.80     4942959.08        1882.88      215287.80    0.0800     4933312.55      -57789.32
506       17444.00         143.00         478.00     5974512.05     4662591.80        1453.27       42117.81    0.0867     4653780.35      -14031.65
507       17109.00         132.00         110.00     5783527.26     4600552.56         578.77      -65067.05    0.0900     4590888.42        -303.91
508       17131.00         135.00         211.00     5615696.82     4602656.22         116.96      -25102.21    0.0890     4592262.70       -6574.59
509       17055.00         138.00         245.00     5600941.92     4570454.56         334.86       25254.03    0.0882     4559974.54      -10012.91
510       16948.00         135.00         191.00     5630509.08     4521827.39         304.78       -1079.98    0.0890     4511584.33       -5448.81
511       16892.00         133.00         145.00     5579975.70     4496218.52         222.30      127898.27    0.0895     4485864.17       -3547.23
512       16880.00         122.00           5.00     5821753.59     4478590.84         244.41     -301769.04    0.0925     4469239.56       11671.79
513       16997.00         145.00         426.00     5154158.02     4540131.93           0.55       76398.96    0.0858     4528820.55      -21028.92
514       16716.00         145.00         455.00     5505581.52     4434078.45         746.19      -91405.16    0.0860     4423678.73      -15640.22
515       16406.00         148.00         493.00     5174659.70     4359860.46         795.02       25311.88    0.0849     4349208.59      -21825.25
516       16061.00         146.00         383.00     5214510.76     4255142.24         583.52       83668.48    0.0856     4244057.45      -16372.06
517       15824.00         136.00         164.00     5278880.18     4174900.29         729.12       79646.21    0.0889     4165114.78       -3138.65
