# fluctuations.py A_i0=20   B_i0=0   K_i0=100   L_i0=80   N=100   T=1000   allowNewEntry=False   c=1   d=100   e=0.1   g=1.1   v=0.2   Ñ=1   α=0.08   λ=0.3   π_i0=0   φ=0.1   ω=0.002  
  t       firmsNum    firmsNEntry     bankruptcy         firmsK         firmsL    firmsProfit      rate          bankL          bankB     bankProfit          bestA        bestA_rrate_without_bestAbestA_percentage
 40         100.00           0.00           0.00       12250.85        9585.52          69.25    0.0962        9585.52           0.00          27.13          66.00           0.10           0.10           0.25
 41         100.00           0.00           0.00       12537.57        9721.18        -125.96    0.0963        9721.18           0.00          28.78          66.00           0.10           0.10           0.21
 42         100.00           0.00           0.00       12360.31        9865.09         -98.53    0.0943        9865.09           0.00          19.34          66.00           0.10           0.09           0.16
 43         100.00           0.00           0.00       12385.92        9961.80         -56.63    0.0919        9961.80           0.00           7.21          66.00           0.09           0.09           0.16
 44         100.00           0.00           0.00       12407.24        9997.84         334.49    0.0904        9997.84           0.00           1.11          66.00           0.09           0.09           0.20
 45         100.00           0.00           0.00       13138.39       10003.38         100.36    0.0941       10003.38           0.00          26.47          66.00           0.10           0.09           0.23
 46         100.00           0.00           0.00       13136.95       10135.72        -144.12    0.0962       10135.72           0.00          38.86          66.00           0.10           0.10           0.16
 47         100.00           0.00           0.00       12942.65       10330.02        -221.73    0.0942       10330.02           0.00          25.17          17.00           0.10           0.09           0.20
 48         100.00           0.00           0.00       12769.15       10455.86         232.18    0.0905       10455.86           0.00          -1.78          66.00           0.09           0.09           0.19
 49         100.00           0.00           0.00       13446.33       10446.94         181.27    0.0921       10446.94           0.00          14.45          66.00           0.09           0.09           0.27
 50         100.00           0.00           0.00       13648.93       10519.18           3.06    0.0946       10519.18           0.00          35.14          66.00           0.10           0.09           0.36
 51         100.00           0.00           0.00       13649.46       10694.86         -69.67    0.0948       10694.86           0.00          34.86          66.00           0.10           0.09           0.44
 52         100.00           0.00           0.00       13681.34       10869.15        -483.46    0.0934       10869.15           0.00          24.73          66.00           0.10           0.09           0.37
 53         100.00           0.00           0.00       12907.76       10992.82         -43.90    0.0874       10992.82           0.00         -28.87          66.00           0.08           0.09           0.34
 54         100.00           3.00           3.00       13460.75       11089.99         461.53    0.0854       10848.48           7.70         -18.38          66.00           0.08           0.09           0.43
 55         100.00           2.00           2.00       14320.28       10947.30         204.44    0.0913       10795.07           0.36          25.86          66.00           0.09           0.09           0.41
 56         100.00           0.00           0.00       14246.28       10926.21          86.72    0.0954       10926.21           0.00          41.23          66.00           0.10           0.10           0.47
 57         100.00           0.00           0.00       14421.44       11132.36        -182.52    0.0962       11132.36           0.00          49.39          66.00           0.10           0.10           0.38
 58         100.00           0.00           0.00       14216.61       11379.29          12.72    0.0940       11379.29           0.00          28.59          66.00           0.10           0.09           0.43
 59         100.00           0.00           0.00       14567.53       11522.26        -577.30    0.0928       11522.26           0.00          20.30          66.00           0.09           0.09           0.33
 60         100.00           0.00           0.00       13501.70       11623.75        -392.83    0.0865       11623.75           0.00         -39.42          66.00           0.08           0.09           0.25
 61         100.00           0.00           0.00       13096.26       11426.67        -206.97    0.0801       11426.67           0.00         -88.40          66.00           0.07           0.08           0.16
 62         100.00           4.00           4.00       13123.64       11394.69         578.84    0.0768       10984.68           7.03         -70.38          17.00           0.07           0.08           0.17
 63         100.00           6.00           6.00       14374.66       11164.20         167.61    0.0855       10667.91           2.73          20.44          17.00           0.08           0.09           0.22
 64         100.00           5.00           5.00       14195.33       11129.51         197.51    0.0916       10783.75           8.69          42.90          17.00           0.09           0.09           0.23
 65         100.00           0.00           0.00       14327.86       11041.72         550.13    0.0949       11041.72           0.00          32.21          17.00           0.10           0.09           0.28
 66         100.00           0.00           0.00       15391.65       11202.76         -16.93    0.1004       11202.76           0.00          72.65          17.00           0.11           0.10           0.35
 67         100.00           0.00           0.00       15170.90       11566.00        -637.97    0.1014       11566.00           0.00          76.50          17.00           0.11           0.10           0.33
 68         100.00           0.00           0.00       14294.37       11948.48        -170.83    0.0933       11948.48           0.00          18.90          17.00           0.09           0.09           0.39
 69         100.00           0.00           0.00       14685.19       12043.00         657.73    0.0885       12043.00           0.00         -14.23          17.00           0.09           0.09           0.45
 70         100.00           0.00           0.00       16100.35       11971.86        -817.26    0.0944       11971.86           0.00          41.52          17.00           0.10           0.09           0.39
 71         100.00           0.00           0.00       14015.70       12179.47        -297.66    0.0879       12179.47           0.00         -18.81          17.00           0.09           0.09           0.27
 72         100.00           3.00           3.00       14491.95       12373.75         287.20    0.0815       12085.44           1.56         -39.50          60.00           0.08           0.08           0.26
 73         100.00           3.00           3.00       15191.52       12141.79         145.26    0.0852       11895.72           0.68          -5.53          60.00           0.08           0.09           0.29
 74         100.00           0.00           0.00       14922.32       11871.51        -298.46    0.0890       11871.51           0.00          -4.15          60.00           0.09           0.09           0.30
 75         100.00           1.00           1.00       14252.35       11923.69        -159.70    0.0864       11850.76           4.11         -22.11          60.00           0.08           0.09           0.23
 76         100.00           1.00           1.00       14174.69       11849.56        -268.81    0.0838       11760.76           0.31         -35.36          60.00           0.08           0.08           0.25
 77         100.00           0.00           0.00       13532.22       11585.48         -60.81    0.0806       11585.48           0.00         -62.85          60.00           0.07           0.08           0.18
 78         100.00           2.00           2.00       13595.03       11461.02         434.36    0.0797       11271.22           2.60         -48.46          60.00           0.07           0.08           0.21
 79         100.00           6.00           6.00       14703.75       11520.86         464.56    0.0863       11041.93           5.17          28.54          60.00           0.09           0.09           0.24
 80         100.00           2.00           2.00       15051.48       11337.31        -307.31    0.0949       11210.49           4.46          44.61          60.00           0.10           0.09           0.23
 81         100.00           0.00           0.00       14087.41       11455.88          86.81    0.0933       11455.88           0.00          16.93          60.00           0.09           0.09           0.26
 82         100.00           0.00           0.00       14652.99       11540.53        -289.20    0.0924       11540.53           0.00          16.11          60.00           0.09           0.09           0.20
